episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
76,260897,-596.5974,-434.535,3844,0,0,1,0,1.8111,1.839,collision,809.2,0.064527,0.436602,-0.880001,0.881833,3.070534,1.425841,0.10405,5.949721,0.459575,0.451779,-0.820393,1.0,0.036254,0.962679,2.192149,0.009956,0.744952,0.315286,0.518713,0.0005,,,,,0,gru
77,263872,-534.6945,-437.4741,2975,0,0,1,0,2.3438,1.841,collision,817.8,0.112553,0.436889,-0.83465,0.87304,3.079087,1.410595,0.151563,5.932956,0.427818,0.471997,-1.0,1.0,,,,,,,,,,,,,0,gru
78,267772,-542.6646,-435.7313,3900,0,0,1,0,1.4417,1.862,collision,829.0,0.047174,0.438262,-0.869829,0.882984,3.174107,1.428959,0.062832,5.926446,0.460953,0.448064,-0.695781,1.0,,,,,,,,,,,,,0,gru
79,271632,-394.5826,-419.0276,3860,0,0,1,0,1.2046,1.87,collision,840.0,0.02946,0.437642,-0.893947,0.881465,3.158624,1.422145,0.083211,5.937776,0.46643,0.444962,-0.508968,1.009278,,,,,,,,,,,,,0,gru
80,275201,-841.2856,-480.5038,3569,0,0,1,0,3.1073,1.809,collision,851.6,0.160785,0.428343,-0.855516,0.887301,3.031096,1.441715,0.06837,5.937757,0.340892,0.504812,-1.0,1.177125,0.037795,1.025836,2.200618,0.009953,0.789991,0.37049,0.685467,0.0005,,,,,0,gru
81,279051,70.7621,-429.0936,3850,0,0,1,0,0.3843,1.87,collision,862.7,0.054417,0.431996,-0.887573,0.888557,3.191109,1.440268,0.094907,5.952656,0.449688,0.455785,-0.912525,1.0,,,,,,,,,,,,,0,gru
82,282965,-89.1248,-384.5903,3914,0,0,1,0,0.4204,1.845,collision,873.9,0.051892,0.441381,-0.885633,0.885762,3.1226,1.447356,0.056446,5.958572,0.439652,0.470825,-1.0,1.0,,,,,,,,,,,,,0,gru
83,286525,488.9416,-326.2376,3560,1,1,0,0,0.2395,1.853,goal,884.0,0.056075,0.437246,-0.878874,0.885442,3.138962,1.440042,0.105036,5.883688,0.47327,0.46825,-0.678551,1.001307,,,,,,,,,,,,,0,gru
84,289888,621.5712,-209.0212,3363,1,1,0,0,0.2798,1.855,goal,895.8,0.051577,0.443152,-0.873696,0.885205,3.159806,1.423479,0.084416,5.964735,0.477117,0.465775,-0.686208,1.0,-0.02858,3.272169,2.203916,0.009951,2.477257,0.21682,0.806468,0.0005,,,,,0,gru
85,292247,-606.3618,-242.4036,2359,0,0,1,0,3.4857,1.762,collision,903.1,0.130228,0.431828,-0.874384,0.892035,2.869224,1.456852,0.064399,5.919708,0.377393,0.509172,-1.0,1.15855,,,,,,,,,,,,,0,gru
